Designator,Footprint,Quantity,Value,LCSC Part #
"SW1, SW10, SW11, SW12, SW13, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW26, SW27, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW39, SW4, SW40, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW58, SW6, SW62, SW63, SW64, SW7, SW8, SW9",SW_Hole_1u,52,SW_Push,
"SW14, SW25, SW54",SW_Hole_1.5u,3,SW_Push,
SW28,SW_Hole_1.75u,1,SW_Push,
SW38,SW_Hole_2.25u,1,SW_Push,
SW41,SW_Hole_2u,1,SW_Push,
"SW55, SW56, SW57, SW59, SW60, SW61",SW_Hole_1.25u,6,SW_Push,
